section,niche_a,niche_b,co_occurrence_ratio,graph_steps,descriptive
CID44971,N3,N5,0.6992784585441579,first-ring,True
CID44971,N3,N6,1.630089666551165,first-ring,True
CID44971,N3,N7,0.5276792052303612,first-ring,True
CID44971,N3,N8,0.7728547137474998,first-ring,True
CID44971,N3,N9,0.9552854874349006,first-ring,True
CID44971,N4,N0,1.0213499793544,first-ring,True
CID44971,N4,N1,0.4342343308450154,first-ring,True
CID44971,N4,N2,0.5405020244725054,first-ring,True
CID44971,N4,N3,0.9212993691319282,first-ring,True
CID44971,N4,N4,6.107672876539312,first-ring,True
CID44971,N4,N5,0.8566161117165935,first-ring,True
CID44971,N4,N6,0.6272858140916787,first-ring,True
CID44971,N4,N7,1.8169278580094061,first-ring,True
CID44971,N4,N8,1.1545695418788868,first-ring,True
CID44971,N4,N9,0.7201382905278482,first-ring,True
CID44971,N5,N0,0.790722564661471,first-ring,True
CID44971,N5,N1,0.7327030892670234,first-ring,True
CID44971,N5,N2,0.8490354381615794,first-ring,True
CID44971,N5,N3,0.6992784585441579,first-ring,True
CID44971,N5,N4,0.8566161117165935,first-ring,True
CID44971,N5,N5,0.8842488895139029,first-ring,True
CID44971,N5,N6,0.944301225514355,first-ring,True
CID44971,N5,N7,0.9467862287393927,first-ring,True
CID44971,N5,N8,1.7877205809737602,first-ring,True
CID44971,N5,N9,0.9292106974552878,first-ring,True
CID44971,N6,N0,0.8685495887423244,first-ring,True
CID44971,N6,N1,0.8732028942492132,first-ring,True
CID44971,N6,N2,0.33677291494007533,first-ring,True
CID44971,N6,N3,1.630089666551165,first-ring,True
CID44971,N6,N4,0.6272858140916787,first-ring,True
CID44971,N6,N5,0.944301225514355,first-ring,True
CID44971,N6,N6,1.863746828219896,first-ring,True
CID44971,N6,N7,0.6272858140916787,first-ring,True
CID44971,N6,N8,0.6400133523486113,first-ring,True
CID44971,N6,N9,0.8222051348546299,first-ring,True
CID44971,N7,N0,0.8600841931405472,first-ring,True
CID44971,N7,N1,0.6065216362005275,first-ring,True
CID44971,N7,N2,0.7792134448917126,first-ring,True
CID44971,N7,N3,0.5276792052303612,first-ring,True
CID44971,N7,N4,1.8169278580094061,first-ring,True
CID44971,N7,N5,0.9467862287393927,first-ring,True
CID44971,N7,N6,0.6272858140916787,first-ring,True
CID44971,N7,N7,2.059675304626047,first-ring,True
CID44971,N7,N8,0.9236556335031094,first-ring,True
CID44971,N7,N9,0.686974027148276,first-ring,True
CID44971,N8,N0,1.4210086669278608,first-ring,True
CID44971,N8,N1,0.23236619710770054,first-ring,True
CID44971,N8,N2,1.111656337667459,first-ring,True
CID44971,N8,N3,0.7728547137474998,first-ring,True
CID44971,N8,N4,1.1545695418788868,first-ring,True
CID44971,N8,N5,1.7877205809737602,first-ring,True
CID44971,N8,N6,0.6400133523486113,first-ring,True
CID44971,N8,N7,0.9236556335031094,first-ring,True
CID44971,N8,N8,2.5380450451041963,first-ring,True
CID44971,N8,N9,1.4715869415134288,first-ring,True
CID44971,N9,N0,0.2769762655876339,first-ring,True
CID44971,N9,N1,0.5661464548174906,first-ring,True
CID44971,N9,N2,1.6091585695423156,first-ring,True
CID44971,N9,N3,0.9552854874349006,first-ring,True
CID44971,N9,N4,0.7201382905278482,first-ring,True
CID44971,N9,N5,0.9292106974552878,first-ring,True
CID44971,N9,N6,0.8222051348546299,first-ring,True
CID44971,N9,N7,0.686974027148276,first-ring,True
CID44971,N9,N8,1.4715869415134288,first-ring,True
CID44971,N9,N9,1.3426307111536153,first-ring,True
CID4535,N0,N0,5.726479580929154,first-ring,True
CID4535,N0,N1,0.8525889184982103,first-ring,True
CID4535,N0,N2,1.7019257495768465,first-ring,True
CID4535,N0,N3,0.6686136873337611,first-ring,True
CID4535,N0,N4,1.2168769109474453,first-ring,True
CID4535,N0,N5,0.5408341826433091,first-ring,True
CID4535,N0,N6,0.180278060881103,first-ring,True
CID4535,N0,N7,0.9159288577023782,first-ring,True
CID4535,N0,N8,2.323128648172396,first-ring,True
CID4535,N0,N9,1.6593776058374254,first-ring,True
CID4535,N1,N0,0.8525889184982103,first-ring,True
CID4535,N1,N1,1.5106671051560647,first-ring,True
CID4535,N1,N2,0.9122105211903928,first-ring,True
CID4535,N1,N3,1.158362566590975,first-ring,True
CID4535,N1,N4,0.7905824516983403,first-ring,True
CID4535,N1,N5,0.6148974624320425,first-ring,True
CID4535,N1,N6,0.9890414210547138,first-ring,True
