section,niche_a,niche_b,observed_edges,expected_edges_independence,enrichment_ratio,descriptive
CID4465,N9,N1,58,69.70515935332669,0.8320761409640467,True
CID4465,N9,N2,50,38.50140570779416,1.298653882392613,True
CID4465,N9,N3,25,21.389669837663423,1.1687884941533517,True
CID4465,N9,N4,6,8.555867935065368,0.7012730964920111,True
CID4465,N9,N5,17,13.085445077158798,1.299153364655072,True
CID4465,N9,N6,50,58.12957332353235,0.860147376649653,True
CID4465,N9,N7,51,48.567132690224,1.0500928750579857,True
CID4465,N9,N8,34,28.184035550803568,1.206356695751138,True
CID4465,N9,N9,5,7.046008887700892,0.7096215857359636,True
CID44971,N0,N0,5,1.5910315101070152,3.142615321090462,True
CID44971,N0,N1,6,19.459539239001188,0.30833206923906414,True
CID44971,N0,N2,21,27.65947086801427,0.7592336129714123,True
CID44971,N0,N3,26,11.993929845422118,2.1677632214868896,True
CID44971,N0,N4,5,4.895481569560047,1.0213499793544,True
CID44971,N0,N5,3,3.7939982164090367,0.790722564661471,True
CID44971,N0,N6,27,31.0863079667063,0.8685495887423244,True
CID44971,N0,N7,16,18.602829964328183,0.8600841931405472,True
CID44971,N0,N8,20,14.074509512485138,1.4210086669278608,True
CID44971,N0,N9,2,7.22083531510107,0.2769762655876339,True
CID44971,N1,N0,6,19.459539239001188,0.30833206923906414,True
CID44971,N1,N1,269,59.50128344233056,4.520910885236928,True
CID44971,N1,N2,47,169.1483026159334,0.27786267596617725,True
CID44971,N1,N3,24,73.3474940546968,0.32720954286594556,True
