section,niche_a,niche_b,observed_edges,expected_edges_independence,enrichment_ratio,descriptive
CID44971,N1,N4,13,29.93775267538644,0.4342343308450154,True
CID44971,N1,N5,17,23.201758323424492,0.7327030892670234,True
CID44971,N1,N6,166,190.10472948870392,0.8732028942492132,True
CID44971,N1,N7,69,113.76346016646849,0.6065216362005275,True
CID44971,N1,N8,20,86.07103894173602,0.23236619710770054,True
CID44971,N1,N9,25,44.15818519619501,0.5661464548174906,True
CID44971,N2,N0,21,27.65947086801427,0.7592336129714123,True
CID44971,N2,N1,47,169.1483026159334,0.27786267596617725,True
CID44971,N2,N2,305,120.21231569560048,2.5371776446958703,True
CID44971,N2,N3,52,104.25492865636149,0.4987773783952135,True
CID44971,N2,N4,23,42.55303210463734,0.5405020244725054,True
CID44971,N2,N5,28,32.978599881093935,0.8490354381615794,True
CID44971,N2,N6,91,270.2117538644471,0.33677291494007533,True
CID44971,N2,N7,126,161.70152199762188,0.7792134448917126,True
CID44971,N2,N8,136,122.33996730083236,1.111656337667459,True
CID44971,N2,N9,101,62.76572235434006,1.6091585695423156,True
CID44971,N3,N0,26,11.993929845422118,2.1677632214868896,True
CID44971,N3,N1,24,73.3474940546968,0.32720954286594556,True
CID44971,N3,N2,52,104.25492865636149,0.4987773783952135,True
CID44971,N3,N3,66,22.603944708680142,2.9198443391456066,True
