ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000114902,52.163706256000495,-0.8438649431919205,0.15444266094631903,-5.463936829508719,4.656893143209125e-08,2.061619180696364e-07,SPCS1
ENSG00000122417,10.410760993587557,2.930520914547623,0.5364913932475021,5.462381971886867,4.697878750289875e-08,2.0778916452677267e-07,ODF2L
ENSG00000063046,11.697670845272311,-1.6867020355260778,0.30929542200916127,-5.453368900740206,4.942438723115361e-08,2.1840956731464825e-07,EIF4B
ENSG00000108528,24.283943428937,-1.1820636931495152,0.21679410568498722,-5.452471548590502,4.967452180094558e-08,2.1931770002681638e-07,SLC25A11
ENSG00000136244,4.514219909609174,4.86341017063996,0.8920543411198963,5.4519214205430275,4.982847480373099e-08,2.1979993284159252e-07,IL6
ENSG00000145494,44.58980118352751,-0.8034815675367307,0.14741962851935614,-5.450302484185366,5.028422107216633e-08,2.2161135636648014e-07,NDUFS6
ENSG00000196329,29.747158127526248,1.1343442854668542,0.20814007423833514,5.449908142955447,5.039584238724761e-08,2.2190427373739672e-07,GIMAP5
ENSG00000143889,23.737535640608776,1.260457763807898,0.2314279116867305,5.446437962565644,5.1388514735036406e-08,2.2599494480082782e-07,HNRNPLL
ENSG00000163297,19.84980066639248,1.1596040001905743,0.21291436470635092,5.446339901912617,5.1416839293310034e-08,2.2599494480082782e-07,ANTXR2
ENSG00000119421,23.872991678667976,-1.061719303496286,0.195137661110614,-5.440873368336875,5.301999332308933e-08,2.3283310740809737e-07,NDUFA8
ENSG00000130332,19.348490004295954,-1.218915449949576,0.2242186553590759,-5.436280259541914,5.440435968943413e-08,2.3869912813739224e-07,LSM7
ENSG00000118257,14.847599347834542,1.4311678243094934,0.2633487097371464,5.4344971947573635,5.495116161736254e-08,2.408831473574661e-07,NRP2
ENSG00000100216,18.60234135885998,-1.406966770387718,0.25897433463504205,-5.432842495263004,5.546336058805735e-08,2.4291172364502125e-07,TOMM22
ENSG00000149100,48.85828802725951,-0.9923184638190081,0.18280873453571306,-5.428178617062476,5.693204921233671e-08,2.4912207464774944e-07,EIF3M
ENSG00000150347,23.412342150626298,1.1797091821239531,0.21752748627413013,5.423264904726904,5.8520166524373604e-08,2.558435038263095e-07,ARID5B
ENSG00000077721,127.34654754391656,0.580750913158207,0.10711141108092569,5.421933174976412,5.89579240100202e-08,2.5752821207576824e-07,UBE2A
