section,producer_celltype_minor,spearman,mean_absolute_difference,spots,nnls_mean_residual,nnls_unknown_spots,dominant_component_agreement
CID4465,Cycling PVL,0.21551722889929734,0.05414890570356368,1211,28.867314069918717,0,
CID4465,Cycling T-cells,0.26100537355607745,0.023570437542839183,1211,28.867314069918717,0,
CID4465,Cycling_Myeloid,0.2731647494672125,0.06697834321965092,1211,28.867314069918717,0,
CID4465,DCs,0.1614452229100082,0.02858176230003869,1211,28.867314069918717,0,
CID4465,Endothelial ACKR1,0.22002345197274384,0.04149721985956476,1211,28.867314069918717,0,
CID4465,Endothelial CXCL12,0.12635810013167315,0.03256020402338428,1211,28.867314069918717,0,
CID4465,Endothelial Lymphatic LYVE1,0.03067346049159719,0.036602795248062474,1211,28.867314069918717,0,
CID4465,Endothelial RGS5,0.49657222308257937,0.017005931989467413,1211,28.867314069918717,0,
CID4465,Luminal Progenitors,0.23896352793202236,0.03885606371074696,1211,28.867314069918717,0,
CID4465,Macrophage,0.5329886862207732,0.1144463499488308,1211,28.867314069918717,0,
CID4465,Mature Luminal,0.06283253595746661,0.0331386129574497,1211,28.867314069918717,0,
CID4465,Monocyte,0.014824477170623598,0.03991576982354299,1211,28.867314069918717,0,
CID4465,Myoepithelial,0.04975185951049946,0.04170995447066221,1211,28.867314069918717,0,
CID4465,NK cells,,0.03267064508077756,1211,28.867314069918717,0,
CID4465,NKT cells,-0.013763261625579375,0.038341638023290076,1211,28.867314069918717,0,
CID4465,PVL Differentiated,,0.04320741393026884,1211,28.867314069918717,0,
CID4465,PVL Immature,0.02840628126374773,0.027559188904103717,1211,28.867314069918717,0,
CID4465,Plasmablasts,0.6380946479882439,0.06318609454798514,1211,28.867314069918717,0,
CID4465,T cells CD4+,,0.03414960402684421,1211,28.867314069918717,0,
CID4465,T cells CD8+,,0.037209261761101425,1211,28.867314069918717,0,
CID4465,__DOMINANT_COMPONENT_AGREEMENT__,,,1211,28.867314069918717,0,0.03303055326176713
CID44971,B cells Memory,0.02801898798190545,0.03699971952421441,1160,28.26804719991497,0,
CID44971,B cells Naive,0.0660685473546747,0.04407512392815922,1160,28.26804719991497,0,
CID44971,CAFs MSC iCAF-like,0.291798541311122,0.03854844480103202,1160,28.26804719991497,0,
CID44971,CAFs myCAF-like,0.6849344365887495,0.15199232703436708,1160,28.26804719991497,0,
CID44971,Cancer Basal SC,0.36195642212344376,0.1800365297497141,1160,28.26804719991497,0,
CID44971,Cancer Cycling,0.6779030642665581,0.030098327989518635,1160,28.26804719991497,0,
CID44971,Cancer Her2 SC,0.03940702365025855,0.031245447372153692,1160,28.26804719991497,0,
CID44971,Cancer LumA SC,0.06647097344796445,0.039624386014082615,1160,28.26804719991497,0,
CID44971,Cancer LumB SC,0.644705771412017,0.04854941247353107,1160,28.26804719991497,0,
CID44971,Cycling PVL,0.15601830696150154,0.09017260589672618,1160,28.26804719991497,0,
