gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj_native,padj
NRP2,20.76596382088233,0.3413690605168402,0.1981399453247948,1.7228684501616345,0.0849123168910734,0.1242316267608974,0.1242316267608974
DIDO1,19.503541975162197,-0.2506674911132789,0.1869029676623829,-1.34116378272858,0.1798672823478785,0.2407861878820328,0.2407861878820328
RNF111,12.745681810368737,0.0478697405536067,0.2759883455570995,0.1734484130370751,0.8622989736315652,0.8871388617608695,0.8871388617608694
E2F3,13.352397648552468,-0.2393139986101742,0.228300913820255,-1.0482393373098364,0.2945283508609904,0.3651069818864025,0.3651069818864025
TMED2,218.28637526461216,-0.147165292406448,0.0626949797748777,-2.3473217941034905,0.0189089160507262,0.0323782809087777,0.0323782809087777
PDE4DIP,151.22126407047045,0.2525083435596865,0.1312013766381173,1.9245860830878387,0.0542811618512654,0.0835737672844734,0.0835737672844734
HNRNPH3,129.18069361405372,-0.5933224970044316,0.0853627972108057,-6.950598110546984,3.6374072826291203e-12,1.6274752942412167e-11,1.6274752942412167e-11
DNAJC7,126.80124870994668,-0.01378759184032,0.1090409280411898,-0.1264441901586886,0.8993803241462023,0.9202609111930824,0.9202609111930822
NECAP2,182.86091953851255,0.4015296001703247,0.0873174389270419,4.598504091557505,4.255353591926768e-06,1.1919757960579182e-05,1.1919757960579182e-05
ABHD3,82.36624757702641,0.1294424361730633,0.1112515959829693,1.1635108245357546,0.2446223089033817,0.3126163692055997,0.3126163692055997
SMURF2,8.684645579952871,-0.6953978019684925,0.2701757243315224,-2.573872259208589,0.0100567395726163,0.0184020852197919,0.0184020852197919
YME1L1,56.89281743172161,0.3297860404354655,0.1163671298795336,2.834013701092988,0.0045967361133377,0.0089170438668045,0.0089170438668045
C1orf43,200.61636471310885,-0.3198415914444477,0.0723992525080243,-4.417747150207084,9.97349967078622e-06,2.681048298598446e-05,2.681048298598446e-05
TMEM140,88.0128803506751,2.539605552489297,0.1628584570468379,15.59394334528731,8.003674555879818e-55,1.7029094799744295e-53,1.7029094799744295e-53
COX7A2L,232.25604799995992,-0.444713526457799,0.0661326211772708,-6.724571301441822,1.761101667462952e-11,7.640354305696105e-11,7.640354305696105e-11
EIF4E3,10.746252852845684,1.5176227431888507,0.2646171135813913,5.735164754270733,9.741760249555797e-09,3.3135238944067336e-08,3.3135238944067336e-08
RALGAPA1,14.395398698744184,-0.6934808943828975,0.2234246662279749,-3.103868995714614,0.0019100788612642,0.0039751901379069,0.0039751901379069
RAB18,151.09946395210548,0.1642203696274846,0.0789650041631232,2.079660114855989,0.037556718888653,0.0603805769914036,0.0603805769914036
YTHDC1,53.48983796498623,-0.1226460954767406,0.1182373898938817,-1.0372868987281916,0.2996021697001628,0.3707947644803995,0.3707947644803995
GCNT1,14.688764099291165,2.047236774248918,0.3223125049579254,6.351713764615381,2.1292925722347224e-10,8.4161761748408e-10,8.4161761748408e-10
SF3B2,137.61726446535755,-0.1149070882357179,0.0965589408684329,-1.190020180443832,0.2340384603996782,0.3004344806157615,0.3004344806157615
GNAI3,105.43825343918188,0.4366387309849195,0.0892190414184719,4.894008319781362,9.88026590240851e-07,2.9405553280977718e-06,2.9405553280977718e-06
AFF4,23.38153367962501,-0.1304102901721875,0.1705567308524097,-0.7646153248858718,0.4445006409118148,0.5071339435617674,0.5071339435617676
PRKD2,26.58300860683201,2.063581157987485,0.1910446831317814,10.801562881307929,3.3839389608882936e-27,2.892255522126747e-26,2.8922555221267463e-26
CD36,89.56500352857489,-0.4688077851794385,0.2420486847643243,-1.9368326071918252,0.0527658086397205,0.0816857618584572,0.0816857618584572
FBXO7,150.89329860637872,0.8804853401264562,0.0986088499079594,8.929070169140928,4.296043253735473e-19,2.6850270335846713e-18,2.6850270335846705e-18
FAR2,6.506610741079953,2.774022069097972,0.4156897893200941,6.673298551872508,2.5011683458472343e-11,1.0711641738103787e-10,1.0711641738103787e-10
ABCA1,11.611745022324945,-0.6010850580103348,0.3103485354689761,-1.9368064911342948,0.0527690021605633,0.0816857618584572,0.0816857618584572
NCOA4,141.1356690322918,-0.0882280569477145,0.1006284801056908,-0.8767702429277279,0.3806114449345227,0.4493641616700386,0.4493641616700386
LAMP2,131.19272846067267,0.5013836126213251,0.0834416824219383,6.008790787390717,1.8691213299455643e-09,6.809185172843585e-09,6.809185172843585e-09
R3HDM1,10.440992175861066,-0.4443258734646176,0.2421865707298724,-1.8346429041278485,0.0665586172226563,0.1005417178589975,0.1005417178589974
SYNCRIP,69.25244679085439,-0.1924618972635883,0.1080206648695688,-1.7817136887277945,0.0747959334694118,0.1114693494328045,0.1114693494328045
THEMIS2,123.14392105342068,0.445785444704817,0.0994875119972069,4.480818102249177,7.4357464337450815e-06,2.0205832700394244e-05,2.0205832700394244e-05
TTC14,48.88125366964372,-0.1702608380725888,0.1391020286219974,-1.2239996767787185,0.2209523494623788,0.2860224588509758,0.2860224588509759
DHX9,45.78179759163223,-0.616720065362264,0.128623234310023,-4.79477964203397,1.6285374449986589e-06,4.775769633427152e-06,4.775769633427152e-06
MANF,247.67978699832992,0.0256489325557685,0.1016761350940503,0.2522610889177025,0.8008392622553113,0.8324732455876418,0.8324732455876417
CDR2,4.814408347973729,-0.5374327453061185,0.3545114300786408,-1.5159814316477769,0.1295240476657041,0.1814062292236752,0.1814062292236752
