seed,grid_id,donors_per_group,cells_per_donor,donor_sd,nonnull_fraction,method,discoveries,true_positive,false_positive,fdp,sensitivity,any_false_positive,pvalue_nonfinite,two_methods_seconds
268924,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.001665899995714426
268924,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.001665899995714426
268925,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.001638399960938841
268925,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.001638399960938841
268926,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0019001999753527343
268926,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0019001999753527343
268927,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0017894000047817826
268927,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0017894000047817826
268928,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0023527999874204397
268928,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0023527999874204397
268929,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0024228999973274767
268929,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0024228999973274767
268930,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.001959300017915666
268930,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.001959300017915666
268931,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0020975000225007534
268931,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0020975000225007534
268932,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0016918000183068216
268932,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0016918000183068216
268933,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0022477000020444393
268933,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0022477000020444393
268934,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.001680399989709258
268934,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.001680399989709258
268935,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.003303999954368919
268935,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.003303999954368919
268936,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.003432299999985844
268936,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.003432299999985844
268937,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.003244600025936961
268937,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.003244600025936961
268938,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0015006999601610005
268938,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0015006999601610005
268939,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0017321000341325998
268939,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0017321000341325998
268940,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0014424000401049852
268940,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0014424000401049852
268941,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.001600499963387847
268941,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.001600499963387847
268942,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0016484999796375632
268942,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0016484999796375632
268943,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0015703999670222402
268943,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0015703999670222402
268944,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.001706100010778755
268944,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.001706100010778755
268945,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.001582800003234297
268945,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.001582800003234297
268946,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0026320000179111958
268946,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0026320000179111958
268947,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.001380200032144785
268947,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.001380200032144785
268948,8,8,20,0.0,0.0,cell_welch,1,0,1,1.0,,1,0,0.001492300012614578
268948,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.001492300012614578
268949,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.002535999985411763
268949,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.002535999985411763
268950,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0014483999693766236
268950,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0014483999693766236
268951,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0017445000121369958
268951,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0017445000121369958
268952,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0014177999692037702
268952,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0014177999692037702
268953,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0014968999894335866
268953,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0014968999894335866
268954,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0013477999600581825
268954,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0013477999600581825
268955,8,8,20,0.0,0.0,cell_welch,1,0,1,1.0,,1,0,0.0036860000109300017
268955,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0036860000109300017
268956,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0034333000076003373
268956,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0034333000076003373
268957,8,8,20,0.0,0.0,cell_welch,0,0,0,0.0,,0,0,0.0014953999780118465
268957,8,8,20,0.0,0.0,donor_mean_welch,0,0,0,0.0,,0,0,0.0014953999780118465
269908,9,8,20,0.0,0.2,cell_welch,43,40,3,0.06976744186046512,1.0,1,0,0.00222239998402074
269908,9,8,20,0.0,0.2,donor_mean_welch,43,40,3,0.06976744186046512,1.0,1,0,0.00222239998402074
269909,9,8,20,0.0,0.2,cell_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0026837000041268766
269909,9,8,20,0.0,0.2,donor_mean_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0026837000041268766
269910,9,8,20,0.0,0.2,cell_welch,44,40,4,0.09090909090909091,1.0,1,0,0.0017520999535918236
269910,9,8,20,0.0,0.2,donor_mean_welch,40,40,0,0.0,1.0,0,0,0.0017520999535918236
269911,9,8,20,0.0,0.2,cell_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0016054000006988645
269911,9,8,20,0.0,0.2,donor_mean_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0016054000006988645
269912,9,8,20,0.0,0.2,cell_welch,42,40,2,0.047619047619047616,1.0,1,0,0.0015308000147342682
269912,9,8,20,0.0,0.2,donor_mean_welch,44,40,4,0.09090909090909091,1.0,1,0,0.0015308000147342682
269913,9,8,20,0.0,0.2,cell_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0015575999859720469
269913,9,8,20,0.0,0.2,donor_mean_welch,41,40,1,0.024390243902439025,1.0,1,0,0.0015575999859720469
