gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RTCB,251.21463408616563,2.3587244570093304,0.15485050990847563,15.232267936369432,2.1596792526169524e-52,2.9453556703793264e-50
DYNLT1,1307.1685494941846,2.3752695353607014,0.1560094609594857,15.225163401965334,2.4075634849350852e-52,3.2461069032675896e-50
EPSTI1,665.841801826641,3.4303964278252903,0.2253237704445896,15.224298888025553,2.4395986306000395e-52,3.252341320457244e-50
BST2,1235.6073567842266,2.379366911313804,0.15753173766526624,15.104047899031235,1.5229020343187802e-51,2.007692515243592e-49
ELF1,217.18975863245655,1.2893295778656249,0.08538975629235065,15.099347203326365,1.6354448226850257e-51,2.132368441885476e-49
CLEC5A,174.19490360192668,-5.003384249785864,0.3332790110159721,-15.01259930690949,6.072077465997759e-51,7.830999905876457e-49
GCH1,145.98110962271016,2.9088743094792453,0.19379961733062462,15.00970099706992,6.343300156099463e-51,8.092823263668831e-49
TRAFD1,56.30781364876424,2.662343301694801,0.1775865763538597,14.99180487825727,8.306489350096782e-51,1.0484733631797694e-48
SMCHD1,263.6402680120093,1.949560997304467,0.13028650792188198,14.963644573798824,1.268827188192981e-50,1.5681911029072626e-48
UBE2L6,1054.4544648960841,2.6385240538659174,0.17632502250101018,14.963979680483531,1.2624525883722772e-50,1.5681911029072626e-48
PSMA4,834.7692266295458,1.6619061450531964,0.11119677651737155,14.945632392442308,1.6630488541568962e-50,2.0342345004712962e-48
TRIM14,58.37553271474229,2.2913690300795317,0.15345887952198048,14.931485471659071,2.056336272211067e-50,2.489635700998399e-48
LY6E,2303.118450510495,4.46184486855131,0.2988634899078744,14.929374176573685,2.1224871851319386e-50,2.5437687324838837e-48
DTX3L,75.58599602217758,2.88963477819526,0.1980350994331946,14.59152840312559,3.1799280765023077e-48,3.7729846627699885e-46
